<name>others</name>	others	Starbuck	He knew, for example, that however magnetic his ascendency in some respects was over [MASK], yet that ascendency did not cover the complete spiritual man any more than mere corporeal superiority involves intellectual mastership; for to the purely spiritual, the intellectual but stand in a sort of corporeal relation.
<name>Jonah</name>	Jonah	Jonah	But this objection likewise falls to the ground, because a German exegetist supposes that [MASK] must have taken refuge in the floating body of a dead whale-- even as the French soldiers in the Russian campaign turned their dead horses into tents, and crawled into them.
<name>Silver</name>	Silver	Steelkilt	"'So I am, but take that.' The mate was in the very act of striking, when another hiss stayed his uplifted arm. He paused: and then pausing no more, made good his word, spite of [MASK]'s threat, whatever that might have been.
<name>Macbeth</name>	Macbeth	Starbuck!--	Strangest problems of life seem clearing; but clouds sweep between--Is my journey's end coming? My legs feel faint; like his who has footed it all day. Feel thy heart,--beats it yet? Stir thyself, [MASK] stave it off--move, move!
<name>Starbuck</name>	Starbuck	Starbuck	[MASK]'s astir," said the rigger. "He's a lively chief mate that; good man, and a pious; but all alive now, I must turn to." And so saying he went on deck, and we followed.
<name>Ishmael</name>	Ishmael	Sir?--Clay	why that's--but no;--a very tidy, and, I may say, an extremely gentlemanlike sort of business thou art in here, carpenter;--or would'st thou rather work in clay? [MASK]? clay, sir? That's mud; we leave clay to ditchers, sir.
<name>Tom</name>	Tom	Ishmael	Too expensive and jolly, again thought I, pausing one moment to watch the broad glare in the street, and hear the sounds of the tinkling glasses within. But go on, [MASK], said I at last; don't you hear?
<name>Ahab</name>	Ahab	Tashtego	So with stun-sail piled on stun-sail, we sailed along, driving these leviathans before us; when, of a sudden, the voice of [MASK] was heard, loudly directing attention to something in our wake. Corresponding to the crescent in our van, we beheld another in our rear.
<name>Steelkilt</name>	Steelkilt	Steelkilt	But [MASK] and his desperadoes were too much for them all; they succeeded in gaining the forecastle deck, where, hastily slewing about three or four large casks in a line with the windlass, these sea-Parisians entrenched themselves behind the barricade.
<name>Steelkilt</name>	Steelkilt	Bildad	When [MASK] was a chief-mate, to have his drab-colored eye intently looking at you, made you feel completely nervous, till you could clutch something--a hammer or a marling-spike, and go to work like mad, at something or other, never mind what.
<name>The Ocean</name>	The Ocean	jolly	Oh! [MASK] is the gale, And a joker is the whale, A' flourishin' his tail,-- Such a funny, sporty, gamy, jesty, joky, hoky-poky lad, is the Ocean, oh! The scud all a flyin',
<name>Stubb</name>	Stubb	Starbuck	Thou art always prating to me, [MASK], about those miserly owners, as if the owners were my conscience. But look ye, the only real owner of anything is its commander; and hark ye, my conscience is in this ship's keel.--On deck!"
<name>Stubb</name>	Stubb	Tashtego	The ship was now kept away from the wind, and she went gently rolling before it. [MASK] reporting that the whales had gone down heading to leeward, we confidently looked to see them again directly in advance of our bows.
<name>Fedallah</name>	Fedallah	Fedallah	But be all this as it may, certain it is that while the subordinate phantoms soon found their place among the crew, though still as it were somehow distinct from them, yet that hair-turbaned [MASK] remained a muffled mystery to the last.
<name>Ahab</name>	Ahab	Fedallah	[MASK] first descried this jet. For of these moonlight nights, it was his wont to mount to the main-mast head, and stand a look-out there, with the same precision as if it had been day.
<name>Queequeg</name>	Queequeg	Bildad	"Whew!" he whistled at last--"the squall's gone off to leeward, I think. [MASK], thou used to be good at sharpening a lance, mend that pen, will ye. My jack-knife here needs the grindstone.
<name>Hamlet</name>	Hamlet	Pip	"Wonder if he means me?--complimentary--poor lad!--I could go hang myself. Any way, for the present, I'll quit [MASK]'s vicinity. I can stand the rest, for they have plain wits; but he's too crazy-witty for my sanity.
<name>Ishmael</name>	Ishmael	Stubb	By this time [MASK] was over the side, and getting into his boat, hailed the Guernsey-man to this effect,--that having a long tow-line in his boat, he would do what he could to help them, by pulling out the lighter whale of the two from the ship's side.
<name>Cook</name>	Cook	Fleece	There, now ye may go." But [MASK] had hardly got three paces off, when he was recalled. "Cook, give me cutlets for supper to-morrow night in the mid-watch. D'ye hear? away you sail then.--Halloa! stop!
<name>You</name>	You	Noah	The same--the same!-- the same to [MASK] as to me. There's a soft shower to leeward. Such lovely leewardings! They must lead somewhere-- to something else than common land, more palmy than the palms.
<name>the heart</name>	the heart	Ahab	Inward they turned upon the soul, especially when the still mild hours of eve came on; then, memory shot her crystals as the clear ice most forms of noiseless twilights. And all these subtle agencies, more and more they wrought on [MASK]'s texture.
<name>Ahab</name>	Ahab	Ahab	CHAPTER 37 Sunset The cabin; by the stern windows; [MASK] sitting alone, and gazing out. I leave a white and turbid wake; pale waters, paler cheeks, where'er I sail. The envious billows sidelong swell to whelm my track; let them; but first I pass.
