<name>Silas</name>	Silas	Tom	All who got this vague hint were cautioned to “be mum and wait.” About midnight [MASK] arrived with a boiled ham and a few trifles, and stopped in a dense undergrowth on a small bluff overlooking the meeting-place. It was starlight, and very still.
<name>Tom</name>	Tom	Huck	He hid the lantern in [MASK]'s sugar hogshead and the watch began. An hour before midnight the tavern closed up and its lights (the only ones thereabouts) were put out. No Spaniard had been seen. Nobody had entered or left the alley.
<name>Ulalume</name>	Ulalume	Spirits	It was a lonely place, and an hour made solemn by old traditions. [MASK] whispered in the rustling leaves, ghosts lurked in the murky nooks, the deep baying of a hound floated up out of the distance, an owl answered with his sepulchral note.
<name>Jim</name>	Jim	Lord	[MASK], I hear 'em say he's the bloodiest looking villain in this country, and they wonder he wasn't ever hung before.” “Yes, they talk like that, all the time. I've heard 'em say that if he was to get free they'd lynch him.”
<name>Sidney</name>	Sidney	Tom	“Oh, auntie, my sore toe's mortified!” The old lady sank down into a chair and laughed a little, then cried a little, then did both together. This restored her and she said: “[MASK], what a turn you did give me.
<name>Huck</name>	Huck	Tom	You mustn't be so bad. Water won't hurt you.” [MASK] was a trifle disconcerted. The basin was refilled, and this time he stood over it a little while, gathering resolution; took in a big breath and began.
<name>Tom</name>	Tom	Joe	[MASK] grumbled awhile; then he agreed with his friend that what daylight was left ought to be economized in getting things ready for leaving. Shortly afterward they slipped out of the house in the deepening twilight, and moved toward the river with their precious box.
<name>Jim</name>	Jim	Tom	“[MASK], we _got_ to keep mum. You know that. That Injun devil wouldn't make any more of drownding us than a couple of cats, if we was to squeak 'bout this and they didn't hang him.
<name>his son</name>	his son	Tom	He said he meant to look to it that [MASK] should be admitted to the National Military Academy and afterward trained in the best law school in the country, in order that he might be ready for either career or both.
<name>Jim</name>	Jim	Joe	[MASK] had not had time to get impatient before they were back again with some handsome bass, a couple of sun-perch and a small catfish--provisions enough for quite a family. They fried the fish with the bacon, and were astonished; for no fish had ever seemed so delicious before.
<name>Tom</name>	Tom	Tom	The beetle lay there working its helpless legs, unable to turn over. [MASK] eyed it, and longed for it; but it was safe out of his reach. Other people uninterested in the sermon found relief in the beetle, and they eyed it too.
<name>Tom</name>	Tom	Tom	Another tedious wait at the spring and another long sleep brought changes. The children awoke tortured with a raging hunger. [MASK] believed that it must be Wednesday or Thursday or even Friday or Saturday, now, and that the search had been given over.
<name>Aunt Sally</name>	Aunt Sally	auntie	and so I hove a brick through his window--but don't you tell.” “I won't. I couldn't meow that night, becuz [MASK] was watching me, but I'll meow this time. Say--what's that?”
<name>Mrs. Hale</name>	Mrs. Hale	Sid	But the boy's hand shook so that he spilled his coffee. “And you do talk such stuff,” [MASK] said. “Last night you said, 'It's blood, it's blood, that's what it is!' You said that over and over.
<name>Tom</name>	Tom	Tom	The boys were all eaten up with envy--but those that suffered the bitterest pangs were those who perceived too late that they themselves had contributed to this hated splendor by trading tickets to [MASK] for the wealth he had amassed in selling whitewashing privileges.
<name>Tom</name>	Tom	Tom	He held his candle aloft and said: “Look as far around the corner as you can. Do you see that? There--on the big rock over yonder--done with candle-smoke.” “[MASK], it's a _cross_!”
<name>Tom</name>	Tom	Tom	[MASK], what's the matter with you?” “Oh, auntie, I'm--” “What's the matter with you--what is the matter with you, child?” “Oh, auntie, my sore toe's mortified!”
<name>Tom</name>	Tom	Huck	“What's that you got?” “Dead cat.” “Lemme see him, [MASK]. My, he's pretty stiff. Where'd you get him?” “Bought him off'n a boy.” “What did you give?”
<name>the man</name>	the man	Joe	he said. “It's a dirty business,” said [MASK], without moving. “What did you do it for?” “I! I never done it!” “Look here! That kind of talk won't wash.”
