<name>Jackson's</name>	Jackson's	Jackson	I was away below the ferry now. I rose up, and there was [MASK]'s Island, about two mile and a half down stream, heavy timbered and standing up out of the middle of the river, big and dark and solid, like a steamboat without any lights.
<name>Pap</name>	Pap	Pap	“GIT up! What you 'bout?” I opened my eyes and looked around, trying to make out where I was. It was after sun-up, and I had been sound asleep. [MASK] was standing over me looking sour and sick, too.
<name>Jim</name>	Jim	Jim	but about a dozen houses there, and if they didn't happen to have them lit up, how was we going to know we was passing a town? [MASK] said if the two big rivers joined together there, that would show.
<name>Jim</name>	Jim	Buck	That warn't usual. Next I noticed that [MASK] was up and gone. Well, I gets up, a-wondering, and goes down stairs--nobody around; everything as still as a mouse. Just the same outside. Thinks I, what does it mean?
<name>Jim</name>	Jim	Jim	[MASK] he grumbled a little, but give in. He said we mustn't talk any more than we could help, and then talk mighty low. The lightning showed us the wreck again just in time, and we fetched the stabboard derrick, and made fast there.
<name>Mary Jane</name>	Mary Jane	Huck	jis' as loud as I could yell. _She never budge!_ Oh, [MASK], I bust out a-cryin' en grab her up in my arms, en say, 'Oh, de po' little thing!
<name>Tom</name>	Tom	Capet	“Well, this is it, [MASK]. I ain't easy; I ain't comfortable. That doctor lays on my mind. I wanted to know your plans. I've got a notion, and I think it's a sound one.”
<name>Jim</name>	Jim	Jim	Jump up and crack yo' heels! Dat's de good ole Cairo at las', I jis knows it!” I says: “I'll take the canoe and go and see, [MASK]. It mightn't be, you know.”
<name>Jim</name>	Jim	Jim	He raised considerable row about it, but me and [MASK] stuck to it and wouldn't budge; so he was for crawling out and setting the raft loose himself; but we wouldn't let him. Then he give us a piece of his mind,
<name>Jim</name>	Jim	Jim	I sung out for [MASK] about a dozen times, but I didn't get any answer; so I grabbed a plank that touched me while I was “treading water,” and struck out for shore, shoving it ahead of me.
<name>Jim</name>	Jim	Tom	“_No_, I ain't out of my _head_; I know all what I'm talking about. We _did_ set him free--me and [MASK]. We laid out to do it, and we _done_ it.
<name>Tom</name>	Tom	Jim	CHAPTER XXXVIII. MAKING them pens was a distressid tough job, and so was the saw; and [MASK] allowed the inscription was going to be the toughest of all. That's the one which the prisoner has to scrabble on the wall.
<name>Emily</name>	Emily	Buck	[MASK] said she could rattle off poetry like nothing. She didn't ever have to stop to think. He said she would slap down a line, and if she couldn't find anything to rhyme with it would just scratch it out and slap down another one, and go ahead.
<name>Tom</name>	Tom	Packard	I'm for putting him out of his troubles.” “So'm I,” says [MASK], very quiet. “Blame it, I'd sorter begun to think you wasn't. Well, then, that's all right.
<name>Jim</name>	Jim	Jim	Well, I seemed to be in the open river again by and by, but I couldn't hear no sign of a whoop nowheres. I reckoned [MASK] had fetched up on a snag, maybe, and it was all up with him.
<name>Jim</name>	Jim	Tom	I could git my han's on one er dem witches jis' wunst--on'y jis' wunst--it's all I'd ast. But mos'ly I wisht dey'd lemme 'lone, I does.” [MASK] says: “Well, I tell you what I think.
<name>Jim</name>	Jim	Tom	I shot out and went for the doctor's house, but they told me he'd gone away in the night some time or other, and warn't back yet. Well, thinks I, that looks powerful bad for [MASK], and I'll dig out for the island right off.
<name>Jim</name>	Jim	Jim	and so anybody in town would take it in a minute, let alone a hair-ball. Well, I knowed a potato would do that before, but I had forgot it. [MASK] put the quarter under the hair-ball, and got down and listened again.
