<name>Out</name>	Out	Cutlasses	"Out, lads, out, and fight 'em in the open! [MASK]!" cried the captain. I snatched a cutlass from the pile, and someone, at the same time snatching another, gave me a cut across the knuckles which I hardly felt.
<name>Udolpho</name>	Udolpho	Silver	[MASK] was roundly accused of playing double--of trying to make a separate peace for himself, of sacrificing the interests of his accomplices and victims, and, in one word, of the identical, exact thing that he was doing.
<name>Israel</name>	Israel	George	Very pretty wrote, to be sure; like print, I swear. Your hand o' write, [MASK]? Why, you was gettin' quite a leadin' man in this here crew. You'll be cap'n next, I shouldn't wonder.
<name>Jim</name>	Jim	Jim	And talking o' trouble, why did that doctor give me the chart, [MASK]?" My face expressed a wonder so unaffected that he saw the needlessness of further questions. "Ah, well, he did, though," said he.
<name>Godfrey</name>	Godfrey	Dogger	This time, as the distance was short, I did not mount, but ran with [MASK]'s stirrup-leather to the lodge gates and up the long, leafless, moonlit avenue to where the white line of the hall buildings looked on either hand on great old gardens.
<name>Anderson</name>	Anderson	Silver	[MASK] was a changed man once he was out there and had his back to his friends and the block house; his cheeks seemed to have fallen in, his voice trembled; never was a soul more dead in earnest.
<name>Flint</name>	Flint	Flint	Bout ship, mates! This here crew is on a wrong tack, I do believe. And come to think on it, it was like [MASK]'s voice, I grant you, but not just so clear-away like it, after all.
<name>Hands</name>	Hands	Hands	With these I came on deck, put down my own stock behind the rudder head and well out of the coxswain's reach, went forward to the water-breaker, and had a good deep drink of water, and then, and not till then, gave [MASK] the brandy.
<name>Silver</name>	Silver	Silver	It was as plain as day. [MASK] was the captain, and a mighty rebellious crew he had of it. The honest hands--and I was soon to see it proved that there were such on board--must have been very stupid fellows.
<name>Jim</name>	Jim	John	"Well, that's so," he said. "You've a head upon your shoulders, [MASK], and no mistake. 'Bout ship, mates! This here crew is on a wrong tack, I do believe.
<name>Jerry</name>	Jerry	Pew	At this [MASK] saw his error, turned with a scream, and ran straight for the ditch, into which he rolled. But he was on his feet again in a second and made another dash, now utterly bewildered, right under the nearest of the coming horses.
<name>Lighthouse</name>	Lighthouse	Lillibullero	and we made for shore again as fast as oars could take us. This second trip fairly aroused the watchers along shore. "[MASK]" was dropped again; and just before we lost sight of them behind the little point, one of them whipped ashore and disappeared.
<name>Jim</name>	Jim	John	But now [MASK] put his hand into his pocket, brought out a whistle, and blew upon it several modulated blasts that rang far across the heated air. I could not tell, of course, the meaning of the signal, but it instantly awoke my fears.
<name>Jim</name>	Jim	Jim	This sudden noise startled us shockingly; but the news was good, for it was only six. "Now, [MASK]," she said, "that key." I felt in his pockets, one after another.
<name>Jim</name>	Jim	Jim	"You won't forget?" he inquired anxiously. "Precious sight, and reasons of his own, says you. Reasons of his own; that's the mainstay; as between man and man. Well, then"--still holding me--"I reckon you can go, [MASK].
<name>Jim</name>	Jim	Jim	"[MASK]," he whispered, "take that, and stand by for trouble." And he passed me a double-barrelled pistol. At the same time, he began quietly moving northward, and in a few steps had put the hollow between us two and the other five.
<name>Jim</name>	Jim	Jim	"And there's something under that, no doubt--something, surely, under that, [MASK]--bad or good." And he took another swallow of the brandy, shaking his great fair head like a man who looks forward to the worst. 29
<name>Jim</name>	Jim	Jim	"Will you taste, messmate?" he asked; and when I had refused: "Well, I'll take a drain myself, [MASK]," said he. "I need a caulker, for there's trouble on hand.
<name>Gray</name>	Gray	Gray	But this was not so easily answered. There had come many from the north--seven by the squire's computation, eight or nine according to [MASK]. From the east and west only a single shot had been fired.
<name>Long John</name>	Long John	Silver	If it had been [MASK] and his lads that were now creeping in on them, not a soul would have seen daybreak. That was what it was, thought I, to have the captain wounded; and again I blamed myself sharply for leaving them in that danger with so few to mount guard.
<name>Israel</name>	Israel	Israel	This was all that I required to know. [MASK] could move about, he was now armed, and if he had been at so much trouble to get rid of me, it was plain that I was meant to be the victim.
<name>Jim</name>	Jim	Jim	In a jiffy I had slipped over the side and curled up in the fore-sheets of the nearest boat, and almost at the same moment she shoved off. No one took notice of me, only the bow oar saying, "Is that you, [MASK]?
<name>Jim</name>	Jim	Hawkins	Now, I'll tell you, [MASK], if you like, I'll take you along." I thanked him heartily for the offer, and we walked back to the hamlet where the horses were. By the time I had told mother of my purpose they were all in the saddle.
<name>Bill</name>	Bill	George	"You always was brisk for business, and has the rules by heart, [MASK], as I'm pleased to see. Well, what is it, anyway? Ah! 'Deposed'--that's it, is it? Very pretty wrote, to be sure; like print, I swear.
<name>Morgan</name>	Morgan	Morgan	You're a pretty colour, certainly; why, your liver, man, is upside down. Did you take that medicine? Did he take that medicine, men?" "Aye, aye, sir, he took it, sure enough," returned [MASK].
<name>Flint</name>	Flint	John	o' mine swearing blue fire, and none the wiser, you may lay to that. She would swear the same, in a manner of speaking, before chaplain." And [MASK] would touch his forelock with a solemn way he had that made me think he was the best of men.
<name>Jim</name>	Jim	Jim	"Why, now, who's to hinder you?" "Not you, I know," was my reply. "And right you was," he cried. "Now you--what do you call yourself, mate?" "[MASK]," I told him.
<name>Jim</name>	Jim	Jim	Then he passed his hand over his eyes several times and at last turned back into the house. "[MASK]," says he, "rum"; and as he spoke, he reeled a little, and caught himself with one hand against the wall.
<name>Anderson</name>	Anderson	Anderson	cried the captain; and even in the hurly-burly, I perceived a change in his voice. Mechanically, I obeyed, turned eastwards, and with my cutlass raised, ran round the corner of the house. Next moment I was face to face with [MASK].
<name>Israel</name>	Israel	Silver	[MASK]'s face was a picture; his eyes started in his head with wrath. He shook the fire out of his pipe. "Give me a hand up!" he cried. "Not I," returned the captain.
<name>Bill</name>	Bill	Silver	Wot did I say? No good'll come o' that, I said." "Well, you've about fixed it now, among you," continued [MASK]. "You'll all swing now, I reckon. What soft-headed lubber had a Bible?"
<name>Bill</name>	Bill	Dirk	"[MASK] was a fool and a coward from the first--you wouldn't mind him. They must be close by; they can't be far; you have your hands on it. Scatter and look for them, dogs!
<name>Silver</name>	Silver	Silver	Then he hailed the buccaneer. "Who goes? Stand, or we fire." "Flag of truce," cried [MASK]. The captain was in the porch, keeping himself carefully out of the way of a treacherous shot, should any be intended.
<name>Silver</name>	Silver	Silver	Well, there we stood, two on one side, five on the other, the pit between us, and nobody screwed up high enough to offer the first blow. [MASK] never moved; he watched them, very upright on his crutch, and looked as cool as ever I saw him.
<name>Jim</name>	Jim	Silver	This was a run of eight or nine miles. [MASK], though he was almost killed already with fatigue, was set to an oar, like the rest of us, and we were soon skimming swiftly over a smooth sea.
<name>Hands</name>	Hands	Hands	One glance, however, was sufficient; and it was only one glance that I durst take from that unsteady skiff. It showed me [MASK] and his companion locked together in deadly wrestle, each with a hand upon the other's throat.
<name>Silver</name>	Silver	Silver	I'll give you a piece of advice," he continued as the cook drew near again; "don't you be in any great hurry after that treasure." "Why, sir, I do my possible, which that ain't," said [MASK].
<name>Jonathan</name>	Jonathan	Silver	You see, sir, here it is. I get a rough answer, do I not? Well, if I speak back, pikes will be going in two shakes; if I don't, [MASK] will see there's something under that, and the game's up.
