<name>Heaven</name>	Heaven	Goodness	I now perceived still more how she had been beating about the bush and how weary at last it had made her. “Your letter won’t have got there. Your letter never went.” “What then became of it?” “[MASK] knows!
<name>Maisie</name>	Maisie	Flora	“Why did you pull the curtain over the place to make me think you were still there?” [MASK] luminously considered; after which, with her little divine smile: “Because I don’t like to frighten you!”
<name>Miles</name>	Miles	Miles	When I put the question to [MASK], he played on a minute before answering and then could only say: “Why, my dear, how do _I_ know?”--breaking moreover into a happy laugh which, immediately after, as if it were a vocal accompaniment, he prolonged into incoherent, extravagant song.
<name>Flora</name>	Flora	Flora	“You really compare me to a baby girl?” This found me singularly weak. “Don’t you, then, LOVE our sweet [MASK]?” “If I didn’t--and you, too; if I didn’t--!”
<name>Jim</name>	Jim	Douglas	“More’s the pity, then. That’s the only way I ever understand.” “Won’t YOU tell, [MASK]?” somebody else inquired. He sprang to his feet again. “Yes--tomorrow. Now I must go to bed.
<name>Only</name>	Only	Perfectly	[MASK] can I recall now the particular way strength came to me before we separated for the night. We had gone over and over every feature of what I had seen. “He was looking for someone else, you say--someone who was not you?”
<name>Quint</name>	Quint	Quint	I repeatedly sat up till I didn’t know when; I selected moments when my roommate unmistakably slept, and, stealing out, took noiseless turns in the passage and even pushed as far as to where I had last met [MASK].
<name>Douglas</name>	Douglas	Douglas	“Yes, but that’s just the beauty of her passion.” A little to my surprise, on this, [MASK] turned round to me. “It WAS the beauty of it. There were others,” he went on, “who hadn’t succumbed.
<name>Waymarsh</name>	Waymarsh	Douglas	“I haven’t one.” “Oh, _I_ have!” I said. But [MASK], without heeding me, had begun to read with a fine clearness that was like a rendering to the ear of the beauty of his author’s hand.
<name>Has</name>	Has	Wo	“[MASK]n’t, if he has the chance, turn on me? Yes, I venture still to think it. At all events, I want to try. Get off with his sister as soon as possible and leave me with him alone.”
<name>James</name>	James	Lord	He threw that off to show me how good he is. He knows down to the ground what he ‘might’ do. That’s what he gave them a taste of at school.” “[MASK], you do change!” cried my friend.
<name>Maisie</name>	Maisie	Flora	I figure, finally, that the white curtain draping, in the fashion of those days, the head of [MASK]’s little bed, shrouded, as I had assured myself long before, the perfection of childish rest.
<name>Maisie</name>	Maisie	Miles	“Not half I want to!” [MASK] honestly professed. “But it isn’t so much that.” “What is it, then?” “Well--I want to see more life.” “I see; I see.”
<name>Miles</name>	Miles	Flora	He was quiet; he might be innocent; the risk was hideous; I turned away. There was a figure in the grounds--a figure prowling for a sight, the visitor with whom [MASK] was engaged; but it was not the visitor most concerned with my boy.
<name>Miles</name>	Miles	Miles	“No more, no more, no more!” I shrieked, as I tried to press him against me, to my visitant. “Is she HERE?” [MASK] panted as he caught with his sealed eyes the direction of my words.
<name>Miles</name>	Miles	Miles	To leave me, in addition, with my remedy.” She was still vague. “And what IS your remedy?” “Your loyalty, to begin with. And then [MASK]’s.” She looked at me hard. “Do you think he--?”
<name>Miles</name>	Miles	Quint	I almost cheerfully rejoined. “He has provided for himself as well. But come!” She had helplessly gloomed at the upper regions. “You leave him--?” “So long with [MASK]? Yes--I don’t mind that now.”
<name>Miles</name>	Miles	Miles	They were like the cherubs of the anecdote, who had--morally, at any rate--nothing to whack! I remember feeling with [MASK] in especial as if he had had, as it were, no history.
<name>Maisie</name>	Maisie	Miles	“Well, I think also, you know, of this queer business of ours.” I marked the coolness of his firm little hand. “Of what queer business, [MASK]?” “Why, the way you bring me up. And all the rest!”
<name>Thus</name>	Thus	IX	Then, before shutting her out to go, by another passage, to her own place, “I must just wait,” I wound up. [MASK] I waited and waited, and the days, as they elapsed, took something from my consternation.
<name>Miles</name>	Miles	VII	This second morsel, as I watched her, she was very markedly and intently attempting to tighten in its place. My apprehension of what she was doing sustained me so that after some seconds I felt I was ready for more. Then I again shifted my eyes--I faced what I had to face. [MASK]
<name>Luke</name>	Luke	Luke	I quickly, by way of answer, felt for my letter, drew it forth, held it up, and then, freeing myself, went and laid it on the great hall table. “[MASK] will take it,” I said as I came back.
<name>Miles</name>	Miles	Miles	Yet it was when she had got off--and I missed her on the spot--that the great pinch really came. If I had counted on what it would give me to find myself alone with [MASK], I speedily perceived, at least, that it would give me a measure.
<name>Miles</name>	Miles	Miles	“What does he matter now, my own?--what will he EVER matter? _I_ have you,” I launched at the beast, “but he has lost you forever!” Then, for the demonstration of my work, “There, THERE!” I said to [MASK].
<name>Godfrey</name>	Godfrey	Miles	“Yes, I see that if [MASK] took it instead he probably will have read it and destroyed it.” “And don’t you see anything else?” I faced her a moment with a sad smile.
<name>Charlotte</name>	Charlotte	Griffin	“She was ten years older,” said her husband. “Raison de plus--at that age! But it’s rather nice, his long reticence.” “Forty years!” [MASK] put in. “With this outbreak at last.”
<name>Flora</name>	Flora	Flora	When I’m bad I AM bad!” “I see, I see--it’s charming. But how could you be sure I would know it?” “Oh, I arranged that with [MASK].” His answers rang out with a readiness!
