<name>Gerty</name>	Gerty	Stephen	that I'll be the death of that fellow one time. But his voice was no longer angry and [MASK] wondered was he thinking of her greeting to him under the porch. They turned to the left and walked on as before.
<name>Tom</name>	Tom	Maurice	Here, [MASK]! Come here, you thick-headed ruffian! Do you know I'm going to send you to a college where they'll teach you to spell c.a.t. cat. And I'll buy you a nice little penny handkerchief to keep your nose dry.
<name>Stephen</name>	Stephen	Cranly	He turned into the pillared hall, now calmly lit, went up the staircase and passed in through the clicking turnstile. [MASK] was sitting over near the dictionaries. A thick book, opened at the frontispiece, lay before him on the wooden rest.
<name>MacCann</name>	MacCann	MacCann	What do we know about what she feels? But whatever she feels, it, at least, must be real. It must be. What are our ideas or ambitions? Play. Ideas! Why, that bloody bleating goat Temple has ideas. [MASK] has ideas too.
<name>Stephen</name>	Stephen	Lepidus	This mentality, [MASK] would say, is indeed bred out of your mud by the operation of your sun. And mine? Is it not too? Then into Nile mud with it! APRIL 1. Disapprove of this last phrase. APRIL 2.
<name>Stephen</name>	Stephen	Cranly	--Because, [MASK] continued, you need not look upon yourself as driven away if you do not wish to go or as a heretic or an outlaw. There are many good believers who think as you do. Would that surprise you?
<name>Botulism</name>	Botulism	Canker	[MASK] was a disease of plants and cancer one of animals: or another different. That was a long time ago then out on the playgrounds in the evening light, creeping from point to point on the fringe of his line, a heavy bird flying low through the grey light.
<name>Stephen</name>	Stephen	Stephen	The boys answered him phrase by phrase. [MASK], his tongue cleaving to his palate, bowed his head, praying with his heart. --O my God!-- --O my God!-- --I am heartily sorry-- --I am heartily sorry-- --for having offended Thee-- --for having offended Thee--
<name>Stephen</name>	Stephen	Simon	They'll be of service to him in after years. Those are the fellows that can get you a position. --And they're a very rich order, aren't they, [MASK]? --Rather. They live well, I tell you.
<name>Stephen</name>	Stephen	Fleming	You are one of the idlest boys I ever met. Copy out your themes again the rest of you. [MASK] moved heavily out of his place and knelt between the two last benches. The other boys bent over their theme-books and began to write.
<name>Stephen</name>	Stephen	Cranly	And I'm proud that I'm an emotionalist. He sidled out of the alley, smiling slyly. [MASK] watched him with a blank expressionless face. --Look at him! he said. Did you ever see such a go-by-the-wall?
<name>Bob</name>	Bob	Temple	We want to hear about that. --He had, faith, [MASK] said. And he was a married man too. And all the priests used to be dining there. By hell, I think they all had a touch. --We
<name>Stephen</name>	Stephen	Davin	There was no face seen. The brother's face was bent upon her fair rain-fragrant hair. The hand freckled and strong and shapely and caressing was [MASK]'s hand. He frowned angrily upon his thought and on the shrivelled mannikin who had called it forth.
<name>Stephen</name>	Stephen	Stephen	--Do you not fear that those words may be spoken to you on the day of Judgement? --What is offered me on the other hand? [MASK] asked. An eternity of bliss in the company of the dean of studies?
<name>Shelley</name>	Shelley	Newman	Their feet passed in pattering tumult over his mind, the feet of hares and rabbits, the feet of harts and hinds and antelopes, until he heard them no more and remembered only a proud cadence from [MASK]: --Whose feet are as the feet of harts and underneath the everlasting arms.
<name>Stephen</name>	Stephen	Cranly	He frowned angrily upon his thought and on the shrivelled mannikin who had called it forth. His father's jibes at the Bantry gang leaped out of his memory. He held them at a distance and brooded uneasily on his own thought again. Why were they not [MASK]'s hands?
<name>Shelley</name>	Shelley	Shelley	The vast cycle of starry life bore his weary mind outward to its verge and inward to its centre, a distant music accompanying him outward and inward. What music? The music came nearer and he recalled the words, the words of [MASK]'s fragment upon the moon wandering companionless, pale for weariness.
