<name>What</name>	What	what?"--she	"What do you, in particular, call its work?" "Well, to see me through." "But through [MASK] liked to get it all out of him. "Why through this experience." That was all that would come.
<name>Strether</name>	Strether	Waymarsh	And the thing will be much better if we have our own man in it." "If you have your own man in it, in other words," [MASK] said, "you'll marry--you personally--more money.
<name>Mrs. Jordan</name>	Mrs. Jordan	Chad	She would alight from her headlong course more or less directly upon him; it would be appointed to him, unquestionably, to receive her entire weight. Signs and portents of the experience thus in reserve for him had as it happened, multiplied even through the dazzle of [MASK]'s party.
<name>Miriam</name>	Miriam	Jeanne	Our young man's people had seen her; one of his sisters, a charming woman--we know all about them--had observed her somewhere with me. She had spoken to her brother--turned him on; and we were again observed, poor [MASK]
<name>Maurice</name>	Maurice	Chad	"He'll go in a moment if you give him the word--he assures me on his honour he'll do that": this came in its order, out of its order, in respect to [MASK], after the crash had occurred.
<name>Strether</name>	Strether	Strether	"No. How CAN I?" "Do you mean because of your being so saddled with him?" "I'm thinking of his mother," said [MASK] after a moment. "He has darkened her admirable life." He spoke with austerity.
<name>Harney</name>	Harney	Pocock	"Oh don't you know her well enough," [MASK] asked, "to have noticed that she never gives herself away, any more than her mother ever does? They ain't fierce, either of 'em; they let you come quite close.
<name>Strether</name>	Strether	Chad	"Why it's the whole question." "Of my going home?" [MASK] was clearly surprised. "Oh not much! Do you think that when I want to go any one will have any power--" "To keep you"--Strether took him straight up--"from carrying out your wish?
<name>Maisie</name>	Maisie	Strether	But when [MASK] presently spoke it wasn't in answer. "It's not, I gather, that your mother's physically ill; her health, on the whole, this spring, seems to have been better than usual.
<name>Maisie</name>	Maisie	Sarah	"It couldn't but be ignorantly." "Well, intensity with ignorance--what do you want worse?" This question might have held him, but he let it pass. "[MASK] isn't ignorant--now; she keeps up the theory of the horrible."
<name>Maggie</name>	Maggie	Maria	All these people--the people of the English mother's side--had been of condition more or less eminent; yet with oddities and disparities that had often since made [MASK], thinking them over, wonder what they really quite rhymed to.
<name>Longdon</name>	Longdon	Strether	"I can't see for my life," [MASK] had then observed, "how a young fellow of any spirit--such a one as you for instance--can be admitted to the sight of that young lady without being hard hit.
<name>Strether</name>	Strether	Strether	"Fancy having to take at the point of the bayonet a whole moral and intellectual being or block!" "It was in fact," said [MASK], "what, at home, I HAD done. But somehow over there I didn't quite know it."
<name>Chad</name>	Chad	Mrs.	" With which she put again her question. "Has [MASK] Newsome money?" This time he heeded. "Oh plenty. That's the root of the evil. There's money, to very large amounts, in the concern.
<name>Isabel</name>	Isabel	Strether	"How often do you write?" "Oh perpetually." "And at great length?" [MASK] had become a little impatient. "I hope it's not found too great." "Oh I'm sure not. And you hear as often?"
<name>Mitchell</name>	Mitchell	Strether	[MASK] had thrown back his head as in silent mirth over something that struck him in her audacity or felicity, and her flight meanwhile was already higher. "Therefore close with her--!" "Close with her?" he asked as she seemed to hang poised.
<name>Maggie</name>	Maggie	Sarah	We've many things to think of at home, and great responsibilities and occupations, and our home's not an impossible place. We've plenty of reasons," [MASK] continued a little piercingly, "for everything we do"--and in short she wouldn't give herself the least little scrap away.
<name>Strether</name>	Strether	Strether	"I think it will be treating you quite without ceremony if they do; though after all," she added, "it would be difficult to see now quite what degree of ceremony properly meets your case." "Of course," [MASK] conceded, "my attitude toward them is extraordinary."
<name>Strether</name>	Strether	Strether	Well, you did me no end of good, and I'm doing my best. I DO make it out a situation." "So do I!" [MASK] went on after a moment. But he had the next minute an inconsequent question.
<name>Strether</name>	Strether	Strether	"Then why does she want you at home?" "Because when you hate you want to triumph, and if she should get me neatly stuck there she WOULD triumph." [MASK] followed afresh, but looking as he went. "Certainly--in a manner.
<name>Acton</name>	Acton	Strether	Especially sharp in [MASK] meanwhile was the conviction that his companion really knew, as we have hinted, where she had come out. It was at a very particular place--only THAT she would never tell him; it would be above all what he should have to puzzle for himself.
<name>Strether</name>	Strether	Waymarsh	"Well?" "Well, life can hold nothing better. Besides, they're things of which he's in charge." "So that he does doorkeeper for your precious pair? Can life," [MASK] enquired, "hold nothing better than THAT?"
<name>Lucy</name>	Lucy	Sarah	She wondered. "And what do they do after? They can't come straight home." "No, they can't come straight home--at least [MASK] can't. It's their secret, but I think I've guessed it."
<name>Longdon</name>	Longdon	Strether	We escape that with a perfection--! I feel it to be largely, no doubt, because I don't half-understand him; but our modus vivendi isn't spoiled even by that. You must dine with me to meet him," [MASK] went on.
<name>Strether</name>	Strether	Strether	" she roundly declared. [MASK] resumed for a minute his walk. "She's really perfectly lovely, you know. Far prettier than any girl I've seen over here yet." "That's precisely on what I perhaps most build."
<name>Mrs. Newsome</name>	Mrs. Newsome	Chad	He felt himself colour at the question, and then hated that--hated to pass for anything so idiotic as woundable. Woundable by [MASK]'s lady, in respect to whom he had come out with such a fund of indifference--was he already at that point?
<name>Isabel</name>	Isabel	Chad	"It's fair to your mother." "Oh," said [MASK], "are you afraid of HER?" "Scarcely less. Or perhaps even more. But is this lady against your interests at home?"
<name>Strether</name>	Strether	Chad	"Ah then there you are! And what I don't for the life of me make out," [MASK] pursued with resigned perplexity, "is what you GAIN by it." Oh it would have taken his companion too long to say!
<name>Milly</name>	Milly	Chad	[MASK] was to treat it, at any rate, so far as they were again together, as having done so. "I was 'in' when you found me." "Ah but it was you," the young man laughed, "who found ME."
<name>Strether</name>	Strether	Chad	WAS he looking preternaturally fit? There was something in it perhaps for [MASK]'s wonderful eye, but he had felt himself for hours rather in pieces. Such a judgement, however, was after all but a contribution to his resolve; it testified unwittingly to his wisdom.
<name>James</name>	James	Waymarsh	Ah that's no equivalent. The equivalent would be [MASK]'s himself serving me up--his remorseless analysis of me. And he'll never do that"--he was sadly clear. "He'll never remorselessly analyse me." He quite held her with the authority of this.
<name>God</name>	God	Chad	"Why I want to come right out and live here myself. And I want to live while I AM here too. I feel with YOU--oh you've been grand, old man, and I've twigged--that it ain't right to worry [MASK].
<name>Mrs. Stringham</name>	Mrs. Stringham	Maria	He protests too much. He asks how one can dream of his being tired. But he has all life before him." [MASK] saw what he meant. "He's formed to please." "And it's our friend who has formed him."
<name>Milly</name>	Milly	Strether	"You mean that after all he shouldn't go back?" "I mean that if he gives her up--!" "Yes?" "Well, he ought to be ashamed of himself." But [MASK] spoke with a sound that might have passed for a laugh.
<name>Miles</name>	Miles	Strether	He stands, as they say, if you succeed with him, to gain--" "Oh a lot of advantages." [MASK] had them clearly at his fingers' ends. "By which you mean of course a lot of money." "Well, not only.
<name>Stephen</name>	Stephen	Strether	Is that," [MASK] enquired, "the way he's going to try to get off? These are the people," he explained, "that he must have gone down to see before I arrived. They're the best friends
<name>Milly</name>	Milly	Chad	He perceived soon enough at least that, however reasonable she might be, she wasn't vulgarly confused, and it herewith pressed upon him that their eminent "lie," [MASK]'s and hers, was simply after all such an inevitable tribute to good taste as he couldn't have wished them not to render.
<name>Strether</name>	Strether	Strether	[MASK] described these vague proceedings to himself, described them even to her, as a happy interlude; the sign of which was that the companions said for the time no further word about the matter they had talked of to satiety.
<name>Maisie</name>	Maisie	Strether	Then as [MASK], silent, seemed even yet to wonder, "Doesn't he know what SHE is?" he went on. "I don't know. I didn't ask him. I couldn't. It was impossible. You wouldn't either.
<name>Strether</name>	Strether	Chad	"You'd not only be, as I say, a brute; you'd be," his companion went on in the same way, "a criminal of the deepest dye." [MASK] gave a sharper look, as if to gauge a possible suspicion.
<name>Strether</name>	Strether	Strether	He met you as if you had knocked and he had bidden you enter. [MASK], who hadn't seen him for so long an interval, apprehended him now with a freshness of taste, and had perhaps never done him such ideal justice.
<name>Strether</name>	Strether	Strether	This element indeed affected [MASK] as charged with audible rumblings, but he was conscious of the care of taking it explicitly as a sign of pleasant peace. He wouldn't appeal too much, for that provoked stiffness; yet he wouldn't be too freely tacit, for that suggested giving up.
<name>Strether</name>	Strether	Strether	"You'll be secured!" It made [MASK] for a moment give himself again to contemplation. There were faces he scarce knew what to make of. Were they charming or were they only strange? He mightn't talk politics, yet he suspected a Pole or two.
<name>Maisie</name>	Maisie	Strether	[MASK] vaguely took it up. "As 'bad'?" "She began, that is, to care--to care very much. Alone, and in her horrid position, she found it, when once she had started, an interest.
<name>Strether</name>	Strether	Strether	"Involving accordingly the particular one I've referred to?" [MASK] took another turn about the room, giving a twitch to his companion's blanket and finally gaining the door. His feeling was that of a nurse who had earned personal rest by having made everything straight.
<name>Millicent</name>	Millicent	Waymarsh	"Live up to her?" "You're a great help to her." [MASK] looked at it as at one of the uncomfortable things that were certainly true and that it was yet ironical to say. "It's more then than you are."
<name>Windleham</name>	Windleham	Chad	It was at the beginning of the winter; it went on for some time; it outlasted our absence; it began again on our return; and it luckily seems all right. The young man had met [MASK], and he got a friend to approach him--as having a decent interest in us.
<name>Strether</name>	Strether	Chad	"You've seen her?" "Oh yes--to say good-bye. And if I had doubted the truth of what I tell you--" "She'd have cleared up your doubt?" [MASK] understood--"rather"--again! It even kept him briefly silent.
<name>Mrs. Stringham</name>	Mrs. Stringham	Strether	She has been perfectly free; and he--our young friend--is really a combination. I quite adore him." [MASK] just made sure. "You mean your future son-in-law?" "Future if we all bring it off."
<name>Strether</name>	Strether	Strether	But she came over with ideas. Those she had got at home. They had been her motive and support in joining her brother and his wife. She was to SAVE our friend." "Ah like me, poor thing?" [MASK] also got to his feet.
<name>Charlotte</name>	Charlotte	Strether	Yes--after all I've done to you!" The young man weighed it. "Have you done as much as that?" "Well," said [MASK], thus challenged, "of course I must remember what you've also done to ME.
