<name>Jurgis</name>	Jurgis	Fearenside	No sooner had [MASK]'s dog caught sight of him, however, than it began to bristle and growl savagely, and when he rushed down the steps it gave an undecided hop, and then sprang straight at his hand.
<name>George</name>	George	Kemp	For the first time in his life [MASK] discovered that the hill-road was indescribably vast and desolate, and that the beginnings of the town far below at the hill foot were strangely remote. Never had there been a slower or more painful method of progression than running.
<name>Silas</name>	Silas	Gibbons	[MASK] had heard nothing of the morning's occurrences, but the phenomenon was so striking and disturbing that his philosophical tranquillity vanished; he got up hastily, and hurried down the steepness of the hill towards the village, as fast as he could go.
<name>Moreau</name>	Moreau	Griffin	"But a man's not powdered glass!" "No," said [MASK]. "He's more transparent!" "Nonsense!" "That from a doctor! How one forgets! Have you already forgotten your physics, in ten years?
<name>Poirot</name>	Poirot	Kemp	"That is certain." "But how?" cried [MASK], and suddenly became full of ideas. "You must begin at once. You must set every available man to work; you must prevent his leaving this district.
<name>Wimsey</name>	Wimsey	Kemp	Rather. Did I kill that fool of a constable?" "No," said [MASK]. "He's expected to recover." "That's his luck, then. I clean lost my temper, the fools! Why couldn't they leave me alone?
<name>Stevenson</name>	Stevenson	One	That seems the most probable refuge for him, for there it was he re-asserted himself in a grimly tragical manner about two in the afternoon. [MASK] wonders what his state of mind may have been during that time, and what plans he devised.
<name>Kemp</name>	Kemp	Kemp	"Listen to me." "I demonstrated conclusively this morning," began [MASK], "that invisibility--" "Never mind what you've demonstrated!--I'm starving," said the Voice, "and the night is chilly to a man without clothes." "Food?
<name>God</name>	God	Gawd	"He'll kill me--he's got a knife or something. For [MASK]'s sake--!" "Here you are," said the barman. "Come in here." And he held up the flap of the bar.
<name>Raffles</name>	Raffles	Adye	"It's cruel, I know. But think of what he may do!" [MASK] drew the air in sharply between his teeth. "It's unsportsmanlike. I don't know. But I'll have powdered glass got ready.
<name>Adelaide</name>	Adelaide	Adye	He has wounded men. He will kill them unless we can prevent him. He will create a panic. Nothing can stop him. He is going out now--furious!" "He must be caught," said [MASK].
<name>Kemp</name>	Kemp	Kemp	Suddenly the house was full of the Invisible Man's resounding blows on the kitchen door. The girl stared towards the kitchen, shuddered, and retreated into the dining-room. [MASK] tried to explain in broken sentences. They heard the kitchen door give. "
<name>Fearenside</name>	Fearenside	Fearenside	" It is stated by an anonymous bystander that his trousers and gloves had been changed. "Was you hurt, sir?" said [MASK]. "I'm rare sorry the darg--" "Not a bit," said the stranger. "Never broke the skin.
<name>Kemp</name>	Kemp	Kemp	He walked sideways to the door. Suddenly the dressing-gown walked quickly towards him. "Understand me!" said the dressing-gown. "No attempts to hamper me, or capture me! Or--" [MASK]'s face changed a little.
<name>Lucifer</name>	Lucifer	Delilah	Ambition--what is the good of pride of place when you cannot appear there? What is the good of the love of woman when her name must needs be [MASK]? I have no taste for politics, for the blackguardisms of fame, for philanthropy, for sport.
<name>Kemp</name>	Kemp	Kemp	The point is, they know there is an Invisible Man--as well as we know there is an Invisible Man. And that Invisible Man, [MASK], must now establish a Reign of Terror. Yes; no doubt it's startling. But I mean it.
