<name>M</name>	M	Sullivan	He was the President and you had to sit and wait patiently, even if you wanted to reach across and throttle him. Finally he swiveled around. The eyes were dark, cold and commanding. “Nothing. I want you to do nothing. I better get in touch with [MASK].
<name>Jason</name>	Jason	Frank	[MASK] didn’t look at his friend. He stared over at the desk. “I don’t know. Like I said, I got to know the guy. He didn’t seem like the type. So his prints were on the weapon?”
<name>Wolfe</name>	Wolfe	Kirksen	We don’t handle any litigation whatsoever.” [MASK] stood up abruptly, his long forehead now a shiny pink, his diminutive body shaking with rage. “Particularly when this animal has murdered the wife of the firm’s largest client,” he said shrilly.
<name>Jason</name>	Jason	Luther	He sat down, put the beer to his lips. [MASK] had clearly not been here for a while. So? He was an adult. He could go where he wanted, when he wanted. But something just felt wrong. But it had been several years.
<name>John</name>	John	Jack	His hands shook, his throat had dried up. He could not believe that this had all happened. So quickly. It had not been his fault, but [MASK] could not help feeling enormously guilty for his partner’s death.
<name>Michael</name>	Michael	Jenn	“Then why the hell are they selling it for three million eight? We can’t afford it, [MASK]. Forget it.” She answered him by rolling her eyes. She waved reassuringly to the Realtor, who sat in her car writing up the contract.
<name>Tom</name>	Tom	Jack	It must’ve been [MASK]. He had told her of their meeting. That her father had been in trouble. That was the connection. Of course! He had been stupid not to see it right away. But what did that mean? That she cared?
<name>Reacher</name>	Reacher	Frank	His calm and seemingly innocuous manner didn’t trouble [MASK]. Some of the worst offenders he had ever arrested looked like they had stepped out of the church choir right after they had split open somebody’s skull for a couple of laughs.
<name>Emily</name>	Emily	Russell	[MASK] got to them about twelve o’clock on a day that had been going pretty well up until then. Inside one was a single sheet of paper and inside the other was an item she had stared at for some minutes.
<name>He</name>	He	Jack	He looked out the window. Every passing face was a threat. He slid a copy of the Post across to her. The front page was revealing. [MASK] had shaken with anger when he had first read it.
<name>Frank</name>	Frank	Frank	“You think one of them might have killed that woman?” [MASK] stood up and stretched. “I don’t know. What do you think?” “Hey, I get all kinds in here. Nothing surprises me anymore.”
<name>Howard</name>	Howard	Burton	His eyes twitched perceptibly; they would not meet hers now. She had won. She smiled benignly and nodded. The show was hers to run. “Go make some coffee, a whole pot,” she ordered [MASK], momentarily relishing this switching of roles.
<name>Tom</name>	Tom	Jack	He repeated the word as if both trying to make it go away and trying to dissect and interpret it in a manner that was not as painful as it felt at the moment. She looked down at her hands. “There’s nothing keeping me here, [MASK].”
<name>John</name>	John	Luther	“You’ve got to know [MASK], know how he thinks, to understand how he would react to something like that. He’s about as unshakable a person as I’ve ever met. And I know his record doesn’t indicate it, but he’s about as trustworthy and dependable as you can get.
<name>Marlowe</name>	Marlowe	Frank	[MASK] smiled. “Well I’m wondering where she got that point two-one.” “Plenty of booze in a place like that.” “Yeah, except there were no dirty glasses, no open bottles, and no discards in the trash.”
<name>Reacher</name>	Reacher	Jack	It finally struck [MASK]. The letter opener’s evidentiary value was zilch. Even if they could find a match, a competent defense counsel would shred its admissibility. Hell, they probably wouldn’t even get an indictment based on it. Tainted evidence was no evidence at all.
<name>Travis</name>	Travis	Collin	“Yes, ma’am, nine-thirty-five A.M. We’re working on the preliminaries right now.” His eyes stared straight ahead. “Do you find that a little unusual?” [MASK] looked at her. “How so, ma’am?”
<name>Jack</name>	Jack	Luther	The beep stopped on cue as the security system was disarmed, the red light flashed off and was replaced with the friendly green, and [MASK] was in business. He removed the wires, screwed the plate back on and repacked his equipment, then carefully locked the front door.
<name>Reacher</name>	Reacher	Burton	The kid now scanned the crowd, changing his pace every now and then, left to right, right to left, sometimes up, occasionally he would stare straight ahead, no trace of a pattern a potential assailant could count on. But [MASK] could not forget the look he had given the Chief of Staff.
<name>Emily</name>	Emily	Kate	He checked his watch. He had to get back to the office, assuming he had an office to go back to. “[MASK], I don’t think you should be alone right now. How about I crash at your place for a few nights?
<name>Jason</name>	Jason	Jack	Even if they didn’t, the firm printed out a map that was routinely updated. So long as you used the correct map . . . [MASK] raced to the door, flung it open and sprinted down the hallway.
<name>Frank</name>	Frank	Jack	As he continued to watch, she turned from the window. A few moments later the light in her apartment went out. [MASK] wiped at his eyes, turned and walked slowly down the street, heading home after one of the longest days he could ever remember.
<name>Jonathan</name>	Jonathan	Jack	The homeless man turned and fled. He made it to the escalator, but the up escalator wasn’t working. He turned and raced down the tunnel, darted around a corner and disappeared, the cop right after him. Now [MASK] was alone.
<name>Michael</name>	Michael	Jack	I’d say I’d see you around but I really can’t imagine that happening.” He started to leave. She grabbed his sleeve. “[MASK], will you please tell me what I did that was so awful?” He hesitated and then confronted her.
<name>Walter</name>	Walter	Walter	You can’t stop people from gossiping. I would just like to know if your investigation has led to any fact to substantiate [MASK] having ordered the killing of his wife’s murderer.” “I’m afraid that I really can’t say one way or another, sir.
<name>Reacher</name>	Reacher	Frank	Go fucking fig- » ure. [MASK] thanked him and then moved through the rest of the house. Whoever had committed these crimes knew what they were doing. This was not going to be a quick one. Good precrime planning usually meant equally good post-planning.
<name>John</name>	John	Sullivan	In the corner was a small cot, for the room also served as his sleeping chamber. [MASK] picked up the sophisticated cellular phone that lay on the table. He dialed a number known only to a handful of people. A voice on the other line came on.
<name>Ryan</name>	Ryan	Collin	The bed had been stripped and remade; the evidence-laden sheets were already packed in a duffel bag for their ultimate destination in a furnace. [MASK] had already scoped the downstairs area. Everything any of them had touched, except for one item, had been wiped clean.
<name>Jack</name>	Jack	Jack	[MASK] sighed and looked down at his feet. He got up and put on his coat. He playfully pulled at her waistband. “When’s the last time you actually had a meal?” “I can’t remember.”
<name>Jennifer</name>	Jennifer	Russell	If he knew about the letter opener would he have taken these same steps? If he knew about the note and photo [MASK] had received? She was withholding information from her boss, information that could ruin both of them, absolutely and completely.
<name>Anne</name>	Anne	Kate	'k [MASK] was fully dressed when she answered the door, thinking, somehow, that if she were in her bathrobe the interview would endure longer, that she would appear more and more vulnerable as each question came her way.
<name>He</name>	He	Burton	She had good reason to want to kill him. But [MASK] couldn’t let that happen, under no circumstances could he let that happen. There were few absolutes anymore, but that was sure as hell one of them. He had done the right thing.
<name>Stephanie</name>	Stephanie	Frank	I realize you’re an officer of the court, and believe me, I hate to put you through this, but right now your father is my number-one suspect in a very high-profile case.” [MASK] looked at her with a pair of earnest eyes.
<name>James</name>	James	Samuel	The blouse was simple and buttoned to the neck. Her hair was brushed back off her forehead and hung to her shoulders. Her cheeks were rosy from the bitter cold, a coat was draped over her arm. They sat together at the counsel table. [MASK] discreetly disappeared.
<name>Harry</name>	Harry	Frank	But they had the letter opener now. That’s what was in that box. He was certain of it. And without that what chance did they have of nailing these people? [MASK] again tried to struggle up. There was an IV in his arm.
<name>Connie</name>	Connie	Kate	[MASK] is gonna come out of this a whole helluva lot better than you are if you don’t start thinking about your future. You’ve got to get out of here. That’s not just me talking. That’s her too.”
<name>Olivia</name>	Olivia	Gloria	I’m not the first man to hold this office to engage in those types of extracurricular activities. Nor will I be the last.” He cupped her chin in his hand. “You know the demands of the office I hold, [MASK], better than most.
<name>Frank</name>	Frank	Monroe	* ■* -* The hospital security guard was tall, beefy and uncomfortable as hell. “I don’t exactly know what happened. I was gone maybe two, three minutes tops.” “You shouldn’t have been away from your post at all, [MASK].”
<name>John</name>	John	Jack	[MASK] saw her turn the corner. He looked in all directions before moving, a habit he had quickly cultivated and hoped he would be able to discard very soon. He moved quickly to meet her. The street was quiet.
<name>Emily</name>	Emily	Jenn	He was more exhausted than anything else. “Have a great life, [MASK]. I’d say I’d see you around but I really can’t imagine that happening.” He started to leave. She grabbed his sleeve.
<name>He</name>	He	Patterson	“How did the other two get assigned to him?” “I don’t know, we juggle stuff like that. Depends on who shows up for work sometimes.” “You remember any of those three being particularly interested in visiting the Sullivan place?” [MASK] shook his head.
<name>Frank</name>	Frank	Burton	The pain shot through his neck and he almost cried out. The President ran into the bedroom. He was wide-eyed, but still half-drunk. The memory of the last few hours had come back like a Boeing 747 landing on his head. [MASK] ran up behind him.
<name>He</name>	He	Frank	Then he noticed the mark on the wall. The place had real plaster walls instead of the usual drywall, but the mark was still deep. [MASK] noted the nightstand had been moved slightly; the thick carpet betrayed its original position.
<name>Thompson</name>	Thompson	Kirksen	The sneer quickly evaporated from the little man’s face. “I’ve been with this firm for almost twenty years.” “Sounds like it’s about time for a change then. Might do you good.” [MASK] sat down, removed a smudge from his glasses.
<name>He</name>	He	Frank	Her role was only that of a vegetable, but was right now the most important thing on earth to his little girl. “You sure?” “Just leave me a number where I can reach you.” [MASK] did so and hurried out.
<name>Frank</name>	Frank	Jack	The gun. He would see that gun appearing soon. It would be pointed right at him. [MASK] backed down the tunnel toward the kiosk. The man’s hand was going underneath his coat, a torn and beaten behemoth that spilled its woolen guts with every step.
<name>Wainwright</name>	Wainwright	Bayliss	And tell [MASK] to call me tonight. He’d be cooling his heels in some Bureau outpost in the middle of nowhere if I hadn’t pushed through his nomination as Director. I will not tolerate this disrespect.” “They’re most insistent, sir.”
<name>Martha</name>	Martha	Kate	[MASK] sat down and rubbed her thighs. She wore no makeup and had always been one of those women who didn’t need to. The strain was telling though, especially in and under her eyes, in the slope of her shoulders.
<name>Jenny</name>	Jenny	Simon	Swishes of air were heard as [MASK] squeezed the trigger on the spray bottle. Almost immediately, like a mass of lightning bugs, a very small portion of the carpet started to glow a pale blue and then disappeared.
<name>Harry</name>	Harry	Jack	“I shouldn’t have done what I did, [MASK]. Using her to get to her old man. Nobody deserves that.” “It worked. Some people would say don’t argue with success.” “Right. Well anyway the subject got around to you.
<name>Jason</name>	Jason	Luther	[MASK] looked up at the darkness, which i he newly risen sun could not penetrate. Would he even be alive six months from now? Maybe not. They could conceivably find him, despite his precautions. But he planned to enjoy the time he had left.
<name>Christian</name>	Christian	Jack	“So you did have him fired?” “[MASK], I want you to stop thinking about that and start realizing the kind of future we’re going to have together. If we—” “Answer the goddamned question!” She exploded. “Yes!
<name>Whiskey</name>	Whiskey	Jack	For a moment she wondered if he knew. If he knew what she had done with him. Her body stiffened and then relaxed. He couldn’t know, that was impossible. She remembered his drunken pleadings; oh how a bottle of [MASK] could change a person.
<name>Jack</name>	Jack	Jack	He jumped in the passenger side. She looked at him. “I really have to get back.” [MASK] took a deep breath, wiped the moisture off his face. The heavy rain drummed on the car’s exterior. He felt it all slipping away.
<name>Frank</name>	Frank	Alan	“Does it really matter so much whether you win by sixty percent or seventy percent?” He whirled around. “Yes,” he hissed. “Yes, it goddamn does matter.” She bit her lip and retreated. “I’ll step up the effort, [MASK].
<name>Frank</name>	Frank	Sullivan	To listen to the grief, the outpouring, to let [MASK] mourn his little hooker. The quicker that was done, the sooner they could get down to what really mattered: the next deal. “It was a beautiful service, people will remember it for a long time.”
<name>Lucy</name>	Lucy	Frank	The door opened and their coffee was delivered. It was gratefully hot and fresh. [MASK] had not been lying about the chill. “I won’t say she fit in real well with all those types of people, but she seemed to hold her own.
<name>John</name>	John	Jack	Man, when I found my line was tapped, I thought my head was gonna explode. You were right though. So what do you get out of all this?” [MASK] looked at his friend and said simply, “I’m alive.
<name>Inspector</name>	Inspector	Frank	and she turned out to be right. She carefully dusted and lifted the print, filled out a card and nearly ran the entire way to [MASK]’s office. She found him with his hat and overcoat on, which he quickly removed.
<name>Emma</name>	Emma	Kate	[MASK] rubbed her eyes and, using a rubber band from the pile on her desk, pulled her hair back into a rough ponytail. She looked around her small, plain office; the case files were piled high around the room and for the millionth time she wondered if it would ever stop.
<name>Emma</name>	Emma	Jack	In the background, the air had exploded with sirens, all coming toward her. Toward [MASK]. She instinctively looked behind her. There was no sign of him. When she turned back, she was staring into a pair of smug eyes, framed under bushy eyebrows.
<name>Smith</name>	Smith	Sullivan	He had reconnoitered the area right after [MASK]’s phone call. The row house idea had hit him immediately. It was really the only logical place. He had been here since four in the morning. The back door to the house opened into an alleyway.
<name>Reacher</name>	Reacher	Frank	That could prove to be important later on. Much had been written about spray patterns. [MASK] respected their usefulness, but tried not to read too much into them. But if something had partially shielded the carpet from the blood, he would want to know what that something was.
