<name>he</name>	he	Giles	She looked more of a child, seen in this setting, than [MASK] had ever seen her look. Her silence was childlike; and her attitude, leaning slightly against her mother, her chair placed a little behind her.
<name>Lucy</name>	Lucy	Giles	“Only by constant care do we keep her with us. And now it is time for the little afternoon nap.” The old lady, muttering something about chicory and hygiene, signified her readiness to withdraw and [MASK] assisted her daughter in hoisting her upon her feet.
<name>Stephen</name>	Stephen	Giles	In his astonishment [MASK] relinquished his clasp and fixed his broken gaze upon her. “On that first day. When I went to see her. She told me that she could understand the wish to be a nun. She told me that you had them in your Church.
<name>Gertrude</name>	Gertrude	Alix	“ This is the most extraordinary nonsense! Happiness! With another woman! With [MASK]’s mother! She’s old enough to be mine if it comes to that; and as to marrying me — she’d as soon think of marrying a Chinaman.
<name>She</name>	She	Alix	But when he asked her like that, there in the study, with the gas-fire and the untidy heaped books and the Greek temples and the foolish animals on the mantelpiece, [MASK] did not feel so sure.
<name>Lucy</name>	Lucy	Alix	No; I did not see what I was leaping to, but I saw plainly what I left. And I do not say that I regret. All that I do say is that I wish no leaps for [MASK].
<name>Lucy</name>	Lucy	Toppie	“I think she does like me. He liked me. It would always be that for [MASK], wouldn’t it? And then I can give her more about him. We talked of that, too. Things she didn’t know.”
<name>Stephen</name>	Stephen	Alix	What right have you to call yourself a Catholic? ” “I have been baptized,” said [MASK]. “I have been confirmed. I go to confession, and to Mass, at least at Easter. Most certainly I am a Catholic.
<name>Lucy</name>	Lucy	Giles	Wandering in and out with [MASK], the beauty of the town, with its significance, stole upon her mind and senses. Meditative, benign, and so humane, it seemed to smile at you like an old ecclesiastic with kindly eyes for youth.
<name>Stella</name>	Stella	Toppie	He looked at the scene and was not consciously absorbed in thought; but a process of testing, of reestablishing, went on within him as if he felt about his roots to see that they were firm. He would have need of firmness, and the figure of [MASK] went with him as an exorcising presence.
<name>Lucilla</name>	Lucilla	Giles	They were simply two girls engaged in a pastime delightful to them both; and [MASK] surmised that such easy intercourse was perhaps only possible in a country where caste was a thing so impassable that intimacy lent itself to no misinterpretation.
<name>Lucy</name>	Lucy	Giles	“I do not think that for a French town it has special beauty; yet, seen like this, with the harbours, and the wharves, and houses — all so golden, do you not think it is very lovely? ” [MASK] had just been thinking so.
<name>Lucy</name>	Lucy	Jerry	“I’m awfully glad to find you here, of course; but you know what I feel about cake and bread-and-butter, and I should like you to eat the full slice. How was the Blue Boy costume? [MASK] told me about that.”
<name>Lucy</name>	Lucy	Mummy	None of us, except perhaps [MASK], have ever meant anything to her. She’s not got much heart, if you ask my opinion. Or, at all events, only heart enough for one person.” “How did you find her?”
<name>Stiva</name>	Stiva	Giles	Only my Church would not allow me to marry a heretic unless I promised about the children. It is simply not allowed with us, [MASK]. — Do you not know? ” “But why not turn heretic yourself, and settle the children like that?”
<name>Lucy</name>	Lucy	Alix	As if they would have been friends. But of course what we most wanted to hear was about [MASK]’s mother. Tell me everything now; everything you thought.” “Everything. Well, that’s rather difficult, you know.”
<name>Anna</name>	Anna	Alix	— “I will avoid dancing with him,” thought [MASK]. “He is too stout and he brushes his hair up over his head from behind so that it shall not be seen how bald he is.”
<name>Orlando</name>	Orlando	Giles	She saw now that [MASK]’s large eyes were dwelling upon her from a distance; but they were not like the other eyes. They kept their look of thoughtfulness. He was not seeing her in the magic. He was only seeing her as herself.
<name>Stephen</name>	Stephen	Alix	“And for yourself, which do you feel the greater difficulty, [MASK]; — your country or your religion? You never strike me as having any religion at all, you know. You always seem to me, as I told you long ago, just a little pagan.”
<name>Virginia</name>	Virginia	Alix	And now all her light was withdrawn. It was the end, as that had been the beginning. Pale, wraith-like in the dusk, she fixed her eyes upon him and they were dark with their repudiation. “[MASK] is not the product of her mother.
<name>Stephen</name>	Stephen	Toppie	This was so much better than talking about the dead. — “You mean a priest could not? We are quite different about that, too. But I see what you mean” — [MASK]’s eyes dwelt on her — “and sometimes I think that you are right.
<name>Strether</name>	Strether	Giles	She who, for herself, has chosen the path of freedom, should have more courage for her child.” “Isn’t it something of a criticism of the path of freedom that she doesn’t choose it for her child?” [MASK] felt himself impelled to comment.
<name>Stiva</name>	Stiva	Giles	“What I’d like to ask you, if I may,” said [MASK], “is what you feel for mistress number one when mistress number two has deposed her; and what you feel for number two when you are devoting yourself to number three.
<name>Emily</name>	Emily	Maman	It gave me the strangest feeling; like [MASK] sometimes. And her lovely, small things; like the little pinks and campan- ulas that grow along the banks; so sweet and tiny; and little mesanges with bright blue heads, hanging upside down in the birches.
<name>Mary</name>	Mary	Alix	“You know she said — funny little darling — that the children would have to be Catholics. Not that I’d care a rap. — Only, it does somehow make everything more difficult.” “It certainly does. [MASK] has all her objections.
<name>Lucy</name>	Lucy	Alix	Was she unfaithful to her husband? ” “There were faults on both sides, I believe. [MASK] wouldn’t have been given for half the time to her mother if there hadn’t been faults on both sides.”
<name>Julia</name>	Julia	Alix	A great many gables, a great many creepers, large windows open to the air. A kind, capacious house, promising comfort; but how ugly, thought [MASK], as they alighted; “Combien peu interessante.”
<name>Stephen</name>	Stephen	Giles	You would love her, too, [MASK], if you knew her He had turned, while she spoke, and was looking at her and, lifting her head, she met his eyes and saw how deeply she had touched him.
<name>Strether</name>	Strether	Giles	[MASK] felt it cruel to ask the further question that came to him, yet he wondered if she had not, often, asked it of herself. “He consents to go, then, because he is hopeless?” She had, indeed, often asked it.
<name>Michael</name>	Michael	Giles	You did not know?” “No, ” said [MASK], “I didn’t know that. I thought it was only the once.” He stopped. He stopped for a long time after saying this and suddenly she saw the blood mounting to his face.
<name>Lucilla</name>	Lucilla	Alix	When they passed into the open country the buffs and cinnamons and mole-colours of the fields and uplands were all powdered to paleness. The beauty of the day was like a promise, but [MASK] felt it like a farewell.
<name>Strether</name>	Strether	Giles	As if by some deep instinct she knew that her destiny had been in question that afternoon. “But do come with us, [MASK],” she now said, and he replied that he really had letters he ought to write. “Letters home.
<name>Anna</name>	Anna	Alix	“[MASK], do you remember, long ago, you promised me that you would never tell me a lie? ” he said. Not unclosing her lips she nodded. He had glanced at her and met her eyes, but he could not read her look.
<name>Charles</name>	Charles	Giles	so wanted him — to see and understand. “Let me tell you, [MASK]. When one loves her, that is what one fears for her — those great leaps down from the rocks. So iplendid; so bright and splendid; but so dangerous.
