<name>Jason</name>	Jason	Christopher	“Tell him you’re here.” She walked away so they could have some privacy, but it wasn’t long before [MASK] came to find her. “Where have you been?” he asked, peevishly.
<name>Lucy</name>	Lucy	Olive	“Have you come here for lessons?” “No,” said [MASK]. “I came because you were nice enough to write me a note.” “I was always sorry my kids didn’t have you for a teacher.
<name>he</name>	he	Olive	A black woman, wearing a red airport vest, kept saying in the same plangent tone, “People, move around to the comer and against the wall. Move around to the comer and against the wall.” Twice [MASK] approached her. “Where do I go?”
<name>She</name>	She	Nina	I know this shit,” she added. “So don’t try anything.” He held both palms toward her. “I am trying nothing.” He put his hands down. “Didn’t you get arrested?” [MASK] nodded.
<name>Lucy</name>	Lucy	Denise	His eyes, catching hers, softened. Back and forth this cycle went. For the first time in his life as a pharmacist, he allowed himself a sleeping tablet, slipping one each day into the pocket of his trousers. “All set, [MASK]?”
<name>Emily</name>	Emily	Harmon	By February, as the slow opening of the world began once more—the air having a lightness of smell at times, the extra minutes of daylight as the sun lingered across a snow-covered field and made it violet in color—[MASK] was afraid.
<name>Martha</name>	Martha	Olive	One day he said, with sudden cheerfulness, “He’ll come back. You’ll see.” “And what makes you so sure?” “It’s his home, [MASK]. This coastline is his home.”
<name>Agatha</name>	Agatha	Louise	“And mentally, I don’t believe, really, that I am one bit more out of my head than any other creature here on earth.” [MASK] sipped her tea. The veins on her hand were pronounced; one went right down her skinny finger.
<name>Lucy</name>	Lucy	Rebecca	“Not bad.” The only mirror [MASK]’s father had in their house was the one that hung over the bathroom sink. If she wasn’t brushing her teeth or washing her face, she wasn't supposed to be near that mirror; vanity was a sin.
<name>Frank</name>	Frank	Henry	The urge to put his arm around her small shoulders was very strong, but he sat holding his hands together in his lap. A small lamp shone from the kitchen table. She blew her nose on his white handkerchief, and said, “Oh, [MASK].
<name>Harry</name>	Harry	Henry	“Yes,” she said. He watched her as he ate the apple he always had for lunch, nothing else. “You would go home tonight and tell [MASK]?" “Yes,” she said. It was like planning a murder.
<name>Johnny</name>	Johnny	Olive	The boy looked at her. His eyes were pale blue, and his eyelashes were almost colorless. The whites of his eyes had spidery red veins. He kept staring at [MASK] without changing his hangdog expression. “Just please shut up,” he finally said.
<name>Alma</name>	Alma	Denise	The next morning he and [MASK] worked in an intimate silence. If she was up at the cash register and he was behind his counter, he could still feel the invisible presence of her against him, as though she had become Slippers, or he had—their inner selves brushing up against the other.
